X,Y,fid,full_id,osm_id,osm_type,building,shelter_type,bin,bench,library,cuisine,image,building:type,addr:street,addr:city,school,height,building:levels,rooms,internet_access:fee,leisure,tourism,smoking,internet_access,type,opening_hours,name,atm,amenity,AREA,vertex_index,vertex_part,vertex_part_ring,vertex_part_index,distance,angle,x,y
72.9883427,33.6454154,3,w208959445,208959445,way,yes,,,,,,,,,,,,,,,,,,,,,GuestHouse,,,402.515,5,0,0,5,0.000260599,264.7919858,8125025.143,3981288.773
72.9883266,33.6454265,3,w208959445,208959445,way,yes,,,,,,,,,,,,,,,,,,,,,GuestHouse,,,402.515,6,0,0,6,0.000280155,294.7425816,8125023.351,3981290.258
72.9882676,33.6454422,3,w208959445,208959445,way,yes,,,,,,,,,,,,,,,,,,,,,GuestHouse,,,402.515,7,0,0,7,0.000341208,270.9229721,8125016.783,3981292.357
72.9882193,33.645431,3,w208959445,208959445,way,yes,,,,,,,,,,,,,,,,,,,,,GuestHouse,,,402.515,8,0,0,8,0.00039079,230.247251,8125011.406,3981290.859
72.9881979,33.6453819,3,w208959445,208959445,way,yes,,,,,,,,,,,,,,,,,,,,,GuestHouse,,,402.515,9,0,0,9,0.000444351,184.0890372,8125009.024,3981284.294
72.9882059,33.6453528,3,w208959445,208959445,way,yes,,,,,,,,,,,,,,,,,,,,,GuestHouse,,,402.515,10,0,0,10,0.00047453,140.4018075,8125009.915,3981280.402
72.9882649,33.6453238,3,w208959445,208959445,way,yes,,,,,,,,,,,,,,,,,,,,,GuestHouse,,,402.515,11,0,0,11,0.000540272,96.39368923,8125016.483,3981276.525
72.9883212,33.6453372,3,w208959445,208959445,way,yes,,,,,,,,,,,,,,,,,,,,,GuestHouse,,,402.515,12,0,0,12,0.000598145,91.05383185,8125022.75,3981278.316
72.9883937,33.6453171,3,w208959445,208959445,way,yes,,,,,,,,,,,,,,,,,,,,,GuestHouse,,,402.515,13,0,0,13,0.000673379,131.8470829,8125030.821,3981275.629
72.9884071,33.6452836,3,w208959445,208959445,way,yes,,,,,,,,,,,,,,,,,,,,,GuestHouse,,,402.515,14,0,0,14,0.00070946,137.9832045,8125032.312,3981271.149
72.988458,33.6452568,3,w208959445,208959445,way,yes,,,,,,,,,,,,,,,,,,,,,GuestHouse,,,402.515,15,0,0,15,0.000766984,100.3279672,8125037.978,3981267.565
72.9885117,33.6452635,3,w208959445,208959445,way,yes,,,,,,,,,,,,,,,,,,,,,GuestHouse,,,402.515,16,0,0,16,0.000821101,59.60935019,8125043.956,3981268.461
72.9885331,33.6452926,3,w208959445,208959445,way,yes,,,,,,,,,,,,,,,,,,,,,GuestHouse,,,402.515,17,0,0,17,0.000857222,23.07494259,8125046.338,3981272.353
72.9885385,33.6453238,3,w208959445,208959445,way,yes,,,,,,,,,,,,,,,,,,,,,GuestHouse,,,402.515,18,0,0,18,0.000888886,346.2156191,8125046.94,3981276.525
72.9885197,33.6453484,3,w208959445,208959445,way,yes,,,,,,,,,,,,,,,,,,,,,GuestHouse,,,402.515,19,0,0,19,0.000919848,310.2412154,8125044.847,3981279.814
72.9884902,33.645364,3,w208959445,208959445,way,yes,,,,,,,,,,,,,,,,,,,,,GuestHouse,,,402.515,20,0,0,20,0.000953218,286.0677518,8125041.563,3981281.9
72.9884607,33.6453662,3,w208959445,208959445,way,yes,,,,,,,,,,,,,,,,,,,,,GuestHouse,,,402.515,21,0,0,21,0.0009828,303.1184637,8125038.279,3981282.194
72.9864357,33.6438545,4,w208960114,208960114,way,mosque,,,,,,,,,,,,,,,,,,,,,Masjid-e-Rehmat,,,3877.19,0,0,0,0,0,210.3942693,8124812.857,3981080.052
72.9859449,33.6437473,4,w208960114,208960114,way,mosque,,,,,,,,,,,,,,,,,,,,,Masjid-e-Rehmat,,,3877.19,1,0,0,1,0.000502371,302.6491305,8124758.221,3981065.717
72.9859395,33.6437719,4,w208960114,208960114,way,mosque,,,,,,,,,,,,,,,,,,,,,Masjid-e-Rehmat,,,3877.19,2,0,0,2,0.000527557,301.6564602,8124757.62,3981069.007
72.9859046,33.643763,4,w208960114,208960114,way,mosque,,,,,,,,,,,,,,,,,,,,,Masjid-e-Rehmat,,,3877.19,3,0,0,3,0.000563574,256.3336381,8124753.735,3981067.817
72.9857598,33.6437295,4,w208960114,208960114,way,mosque,,,,,,,,,,,,,,,,,,,,,Masjid-e-Rehmat,,,3877.19,4,0,0,4,0.000712198,303.2127667,8124737.616,3981063.337
72.9857544,33.6437585,4,w208960114,208960114,way,mosque,,,,,,,,,,,,,,,,,,,,,Masjid-e-Rehmat,,,3877.19,5,0,0,5,0.000741697,304.2847282,8124737.015,3981067.215
72.9856847,33.6437451,4,w208960114,208960114,way,mosque,,,,,,,,,,,,,,,,,,,,,Masjid-e-Rehmat,,,3877.19,6,0,0,6,0.000812673,213.3683825,8124729.256,3981065.423
